Devices
2000
,,Imported Bertec Force Plate #1 - Force,,,Imported Bertec Force Plate #1 - Moment,,,Imported Bertec Force Plate #1 - CoP,,,Imported Bertec Force Plate #2 - Force,,,Imported Bertec Force Plate #2 - Moment,,,Imported Bertec Force Plate #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1539,0,-16.7229,-55.26,354.179,77275.2,46983.8,10395.1,-337.656,518.181,-2.00305e-05,-9.9601,60.3517,429.617,104975,41712.5,-1788.54,107.908,544.345,-1.46605e-05
1539,1,-18.2488,-53.1238,349.296,75627.2,46983.8,10395.1,-339.51,516.513,-2.03105e-05,-8.7394,59.131,425.344,103876,40980.1,-1971.65,108.654,544.216,-1.45478e-05
1539,2,-17.0281,-53.7341,348.685,74528.6,45396.9,10303.5,-335.194,513.742,-1.96588e-05,-9.65492,59.131,423.513,103876,41102.1,-1880.09,107.95,545.272,-1.46542e-05
1539,3,-19.1643,-52.8186,343.192,74345.5,45396.9,10303.5,-337.278,516.629,-1.99735e-05,-10.2653,57.9103,419.851,102411,40369.7,-1696.99,108.848,543.923,-1.45186e-05
1539,4,-18.2488,-51.9031,341.971,74162.4,45274.8,10395.1,-337.394,516.867,-1.99909e-05,-9.04457,57.9103,418.63,102411,40491.8,-1696.99,108.276,544.634,-1.4605e-05
1540,0,-18.554,-52.2082,336.478,72697.5,44420.3,10028.9,-337.015,516.054,-1.99338e-05,-9.9601,57.6051,413.137,101496,39881.4,-1605.44,108.467,545.671,-1.45761e-05
1540,1,-18.8591,-49.7668,334.037,73979.3,44542.4,9845.76,-338.346,521.47,-2.01346e-05,-9.34975,56.6896,413.137,101129,39881.4,-873.015,108.467,544.784,-1.45761e-05
1540,2,-17.9436,-47.9358,329.154,71782,43565.8,9571.1,-337.357,518.08,-1.99853e-05,-9.65492,56.3844,408.254,100031,39271.1,-1605.44,108.807,545.021,-1.45247e-05
1540,3,-18.554,-48.8513,328.544,71232.7,43443.8,9754.21,-337.231,516.813,-1.99664e-05,-10.5704,55.7741,408.865,99664.5,39271.1,-1239.23,108.951,543.759,-1.4503e-05
1540,4,-20.385,-48.8513,323.661,69767.8,44298.3,9479.55,-341.866,515.558,-2.06662e-05,-12.4015,53.943,403.372,98565.9,38782.8,-1330.78,108.853,544.355,-1.45177e-05
1541,0,-20.0798,-43.3581,323.051,69767.8,42345.1,9662.65,-336.079,515.966,-1.97924e-05,-9.9601,53.6378,403.372,98016.6,38294.5,-1239.23,110.064,542.993,-1.4335e-05
1541,1,-20.9954,-46.1047,316.337,68669.2,41856.8,9754.21,-337.317,517.076,-1.99794e-05,-9.34974,53.0275,397.878,97467.3,38294.5,-1330.78,108.753,544.968,-1.45329e-05
1541,2,-19.1643,-44.2737,315.726,67570.6,41368.6,9662.65,-336.027,514.016,-1.97845e-05,-11.1808,53.0275,397.268,97101.1,37928.3,-1422.33,109.527,544.422,-1.4416e-05
1541,3,-21.6057,-43.6633,309.623,67204.3,41002.4,9571.1,-337.427,517.052,-1.99959e-05,-9.65492,51.8068,392.996,96185.5,37440,-1056.12,109.732,544.75,-1.43851e-05
1541,4,-21.3005,-42.7478,308.402,66471.9,40636.1,9479.55,-336.763,515.537,-1.98957e-05,-10.5704,51.8068,391.775,95636.2,37562.1,-781.463,109.123,544.11,-1.4477e-05
1542,0,-20.9954,-42.7478,305.35,65922.6,39903.7,9021.78,-335.682,515.892,-1.97324e-05,-10.5704,51.1964,389.333,94354.5,36829.7,-964.569,110.403,542.349,-1.42837e-05
1542,1,-20.9954,-41.5271,304.13,66288.8,40025.8,9021.78,-336.608,517.962,-1.98722e-05,-10.8756,50.2809,386.892,94171.4,36829.7,-873.016,109.806,543.405,-1.43738e-05
1542,2,-20.6902,-41.8323,299.247,65007.1,39537.5,9021.78,-337.123,517.236,-1.99501e-05,-9.96009,51.1964,383.84,93439,36341.4,-506.805,110.322,543.432,-1.4296e-05
1542,3,-20.385,-41.2219,298.026,64274.7,38927.2,9204.89,-335.617,515.668,-1.97226e-05,-11.486,50.2809,383.84,93439,36097.3,-689.911,110.958,543.432,-1.42e-05
1542,4,-20.9954,-39.0857,293.754,63359.1,38194.7,9021.78,-335.023,515.688,-1.96329e-05,-10.5704,48.755,378.957,91607.9,35731,-781.464,110.712,541.737,-1.42371e-05
1543,0,-20.0798,-41.5271,292.533,62809.8,38072.7,9113.33,-335.148,514.71,-1.96518e-05,-9.96009,49.0602,377.126,91424.8,35975.2,-598.358,109.607,542.425,-1.44039e-05
1543,1,-21.6057,-39.0857,288.261,63359.1,38072.7,8930.23,-337.077,519.798,-1.99431e-05,-10.8756,46.924,372.854,91058.6,35242.8,-415.253,110.478,544.221,-1.42724e-05
1543,2,-20.6902,-38.4753,288.261,61711.2,37218.2,8655.57,-334.113,514.081,-1.94955e-05,-10.5704,47.8395,372.244,90692.4,35609,-689.911,109.34,543.637,-1.44443e-05
1543,3,-20.9954,-39.3909,284.598,61345,36363.7,8564.02,-332.772,515.549,-1.9293e-05,-11.486,46.6188,369.192,89410.6,34998.6,-323.7,110.202,542.179,-1.43141e-05
1543,4,-20.9954,-37.2546,282.767,60795.7,36852,8655.57,-335.326,515.002,-1.96787e-05,-10.8756,46.924,367.971,89593.7,34998.6,-689.911,109.888,543.48,-1.43616e-05
1544,0,-20.0798,-36.0339,277.885,60246.3,35631.3,8289.36,-333.223,516.804,-1.93612e-05,-11.486,45.7033,364.309,88128.9,34266.2,-415.253,110.942,541.907,-1.42024e-05
1544,1,-18.554,-35.7287,276.054,60612.5,36241.6,8472.46,-336.285,519.568,-1.98234e-05,-11.1808,45.7033,362.478,88495.1,34266.2,-140.595,110.467,544.139,-1.42741e-05
1544,2,-20.0798,-36.3391,275.443,58598.4,35509.2,8106.25,-333.917,512.742,-1.94659e-05,-12.7067,43.567,360.647,87945.8,33900,-689.911,111.002,543.856,-1.41933e-05
1544,3,-18.8591,-36.0339,275.443,59513.9,34532.6,8106.25,-330.371,516.066,-1.89305e-05,-11.486,45.0929,356.985,87396.5,33533.8,-506.806,111.064,544.818,-1.4184e-05
1544,4,-19.7747,-36.6443,270.56,59147.7,35997.5,8197.8,-338.048,518.612,-2.00897e-05,-11.1808,44.7878,353.933,86664,33655.8,-140.595,109.909,544.86,-1.43583e-05
1545,0,-19.1643,-34.508,271.171,57682.9,34532.6,8106.25,-332.346,512.718,-1.92288e-05,-10.8756,44.1774,355.154,86297.8,33045.5,-506.806,111.954,542.987,-1.40495e-05
1545,1,-17.3333,-33.5925,267.509,57866,34288.5,7556.94,-333.177,516.315,-1.93542e-05,-10.5704,43.567,352.102,87030.3,32923.4,-140.595,111.495,547.173,-1.41189e-05
1545,2,-17.9436,-33.8977,266.288,56767.3,34288.5,7740.04,-333.765,513.18,-1.94429e-05,-10.8756,42.6515,350.881,85382.3,32679.3,-689.912,111.865,543.337,-1.4063e-05
1545,3,-18.554,-33.8977,262.626,56584.2,33800.2,7556.94,-333.701,515.456,-1.94333e-05,-10.2653,42.9567,347.219,85382.3,32435.1,-232.148,111.586,545.903,-1.41051e-05
1545,4,-17.3333,-33.5925,263.236,56584.2,33556.1,7190.73,-332.475,514.956,-1.92482e-05,-10.5704,42.3463,348.44,84649.9,32801.4,-323.701,110.862,542.94,-1.42144e-05
1546,0,-17.3333,-33.2873,260.184,56584.2,33922.3,7282.28,-335.378,517.477,-1.96865e-05,-9.96009,42.6515,344.167,83734.4,32068.9,-506.806,111.822,543.295,-1.40695e-05
1546,1,-15.8074,-33.8977,259.574,56034.9,33922.3,7190.73,-335.684,515.873,-1.97328e-05,-9.34974,43.2619,343.557,83734.4,32191,-506.806,111.301,543.728,-1.41482e-05
1546,2,-15.8074,-34.508,257.743,55851.8,33311.9,7190.73,-334.245,516.696,-1.95154e-05,-9.65491,42.0412,340.505,83368.1,31702.7,-598.359,111.895,544.837,-1.40585e-05
1546,3,-14.8918,-33.5925,257.743,55302.5,32823.6,6549.86,-332.35,514.565,-1.92294e-05,-9.96009,42.0412,340.505,82818.8,31824.8,-689.912,111.537,543.223,-1.41126e-05
1546,4,-14.8918,-32.9822,255.912,55485.6,32701.6,6916.07,-332.784,516.815,-1.92949e-05,-7.51868,42.6515,337.454,82269.5,31580.7,-1056.12,111.415,543.795,-1.4131e-05
1547,0,-12.4504,-33.2873,255.912,54753.2,32457.4,6458.3,-331.83,513.953,-1.91509e-05,-8.12903,42.0412,337.454,82086.4,31458.6,-1056.12,111.777,543.253,-1.40763e-05
1547,1,-14.2815,-33.8977,254.081,54936.3,32457.4,6916.07,-332.744,516.216,-1.92889e-05,-7.2135,43.2619,335.012,81354,31092.4,-1147.68,112.19,542.839,-1.40139e-05
1547,2,-12.4504,-32.0666,253.471,55485.6,32945.7,6183.65,-334.978,518.904,-1.96262e-05,-7.2135,41.736,335.623,81354,30726.2,-1056.12,113.45,542.397,-1.38236e-05
1547,3,-9.39868,-33.8977,253.471,53837.6,31969.1,6000.54,-331.126,512.402,-1.90444e-05,-6.90833,42.9567,333.791,81354,30970.3,-1513.89,112.217,543.727,-1.40099e-05
1547,4,-9.39868,-37.2546,254.691,54570.1,31969.1,6275.2,-330.521,514.26,-1.89532e-05,-7.2135,42.0412,332.571,80438.5,30604.1,-1422.33,112.977,541.869,-1.38951e-05
1548,0,-12.7556,-34.8132,251.639,54203.9,31847.1,5634.33,-331.558,515.403,-1.91098e-05,-6.60315,42.9567,331.35,80438.5,30359.9,-1239.23,113.375,542.76,-1.3835e-05
1548,1,-9.09351,-32.0666,249.198,53654.5,31725,6000.54,-332.308,515.309,-1.9223e-05,-5.07727,41.4308,330.74,80255.4,30115.8,-1880.1,113.944,542.654,-1.37491e-05
1548,2,-7.8728,-32.3718,250.419,54020.8,31480.9,5542.78,-330.713,515.722,-1.89821e-05,-4.46692,42.0412,328.909,79889.2,30237.9,-2063.2,113.066,542.892,-1.38816e-05
1548,3,-6.34693,-34.508,248.588,53654.5,31114.6,5451.22,-330.166,515.837,-1.88995e-05,-3.85657,41.736,329.519,80255.4,30359.9,-1513.89,112.866,543.553,-1.39119e-05
1548,4,-8.17798,-35.4236,249.808,54203.9,31480.9,5542.78,-331.02,516.982,-1.90285e-05,-4.16175,42.6515,327.078,79523,29993.7,-2337.86,113.298,543.132,-1.38466e-05
1549,0,-6.34693,-36.0339,249.198,54020.8,30992.6,5542.78,-329.369,516.778,-1.87792e-05,-1.72034,43.2619,327.078,79156.7,29993.7,-2520.97,113.298,542.012,-1.38466e-05
1549,1,-5.73657,-36.9494,249.198,53654.5,31358.8,5176.56,-330.839,515.309,-1.90011e-05,-2.33069,43.2619,324.026,79156.7,29627.5,-2704.07,113.564,544.292,-1.38064e-05
1549,2,-4.2107,-35.1184,248.588,53471.4,30626.4,5085.01,-328.201,515.101,-1.86029e-05,-1.41516,42.9567,324.636,78973.6,29993.7,-2887.18,112.608,543.268,-1.39508e-05
1549,3,-2.07446,-36.3391,246.757,53471.4,30626.4,4993.46,-329.116,516.697,-1.87409e-05,-0.499635,43.2619,324.026,78790.5,29505.5,-3253.39,113.941,543.161,-1.37495e-05
1549,4,-2.37964,-36.6443,246.146,52189.7,30992.6,4901.91,-330.911,512.027,-1.90121e-05,0.110716,43.2619,325.857,78424.3,29749.6,-3253.39,113.704,540.671,-1.37854e-05
1550,0,-1.46411,-36.9494,246.757,53471.4,30626.4,4627.25,-329.116,516.697,-1.87409e-05,0.721068,43.2619,322.805,78607.4,29627.5,-3802.71,113.219,543.513,-1.38586e-05
1550,1,-2.07446,-37.2546,246.146,53105.2,30748.4,4627.25,-329.919,515.747,-1.88623e-05,1.02624,43.567,322.805,78973.6,29871.7,-3619.6,112.462,544.648,-1.39728e-05
1550,2,-0.548586,-39.3909,246.757,52555.9,30626.4,4352.59,-329.116,512.987,-1.87409e-05,3.16247,44.1774,322.195,78424.3,29383.4,-3894.26,113.802,543.407,-1.37705e-05
1550,3,-0.24341,-38.1701,247.367,53105.2,30870.5,4535.69,-329.796,514.682,-1.88437e-05,2.55212,45.0929,322.195,78241.2,29505.5,-4077.37,113.424,542.838,-1.38277e-05
1550,4,-0.24341,-38.4753,248.588,52555.9,30992.6,4535.69,-329.675,511.418,-1.88253e-05,4.38318,46.3136,321.584,78607.4,29139.2,-4352.02,114.389,544.438,-1.3682e-05
