Devices
2000
,,Imported Bertec Force Plate #1 - Force,,,Imported Bertec Force Plate #1 - Moment,,,Imported Bertec Force Plate #1 - CoP,,,Imported Bertec Force Plate #2 - Force,,,Imported Bertec Force Plate #2 - Moment,,,Imported Bertec Force Plate #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
315,0,4.029,-107.14,572.684,135686,43199.6,6092.1,-280.434,536.93,-1.13901e-05,-38.6466,90.2589,559.011,138117,63563.1,-689.904,91.2938,547.073,-1.71692e-05
315,1,2.8083,-105.309,570.243,134953,43077.5,6183.66,-280.542,536.66,-1.14066e-05,-37.4259,91.7848,561.453,138849,63929.3,-689.904,91.1359,547.303,-1.7193e-05
315,2,3.72383,-103.478,564.75,134587,43077.5,6183.66,-281.277,538.313,-1.15175e-05,-38.6466,92.09,562.673,138849,63929.3,-1056.11,91.3829,546.767,-1.71557e-05
315,3,1.5876,-104.088,563.529,133122,41978.9,5817.45,-279.493,536.23,-1.12481e-05,-39.5622,91.7848,563.894,139765,64173.4,-1056.11,91.196,547.856,-1.71839e-05
315,4,1.28242,-101.342,556.815,131841,41978.9,6549.87,-280.391,536.776,-1.13837e-05,-38.9518,93.3107,562.673,139215,64051.4,-1605.43,91.166,547.418,-1.71885e-05
316,0,2.50313,-99.5105,556.205,130925,41856.8,5725.89,-280.254,535.39,-1.13631e-05,-37.4259,93.6159,565.725,139765,64051.4,-1147.67,91.7801,547.054,-1.70957e-05
316,1,2.8083,-97.9846,548.27,130193,41368.6,5909,-280.453,537.461,-1.13931e-05,-38.0363,94.5314,565.115,139765,64173.4,-1147.67,91.4418,547.321,-1.71468e-05
316,2,2.8083,-95.5432,545.829,129094,41368.6,5725.89,-280.79,536.51,-1.1444e-05,-39.257,94.5314,566.335,139765,64661.7,-1239.22,90.8244,546.788,-1.724e-05
316,3,1.89278,-95.8484,539.115,128362,39781.6,5451.23,-278.791,538.097,-1.11421e-05,-39.8673,95.4469,565.115,140131,64295.5,-1239.22,91.2258,547.969,-1.71794e-05
