Devices
2000
,,Imported Bertec Force Plate #1 - Force,,,Imported Bertec Force Plate #1 - Moment,,,Imported Bertec Force Plate #1 - CoP,,,Imported Bertec Force Plate #2 - Force,,,Imported Bertec Force Plate #2 - Moment,,,Imported Bertec Force Plate #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1,1,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1,2,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1,3,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1,4,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2,0,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2,1,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2,2,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2,3,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2,4,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
3,0,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
3,1,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
3,2,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
3,3,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
3,4,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
4,0,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
4,1,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
4,2,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
4,3,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
4,4,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
5,0,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
5,1,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
5,2,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
5,3,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
5,4,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
6,0,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
6,1,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
6,2,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
