Devices
2000
,,Imported Bertec Force Plate #1 - Force,,,Imported Bertec Force Plate #1 - Moment,,,Imported Bertec Force Plate #1 - CoP,,,Imported Bertec Force Plate #2 - Force,,,Imported Bertec Force Plate #2 - Moment,,,Imported Bertec Force Plate #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1950,0,-6.91597,-72.4695,455.818,-68347.4,38096.7,3396.23,-288.579,150.055,-1.262e-05,-11.283,69.2181,370.592,-79169.7,3627.69,-2183.73,195.211,86.3697,-1.47808e-06
1950,1,-7.83149,-77.3523,457.649,-71094,39683.6,3579.33,-291.712,144.654,-1.30931e-05,-12.5037,69.8285,371.202,-79719,3505.62,-2275.28,195.556,85.2412,-1.426e-06
1950,2,-7.52632,-73.6902,456.428,-69629.1,38707,3396.23,-289.804,147.448,-1.28051e-05,-11.8934,70.744,371.202,-79719,3627.69,-1909.07,195.227,85.2412,-1.47565e-06
1950,3,-6.91597,-73.9954,457.649,-70361.6,38951.2,3487.78,-290.111,146.254,-1.28515e-05,-12.1985,69.8285,371.202,-79902.1,3627.69,-2092.17,195.227,84.7478,-1.47565e-06
1950,4,-6.61079,-74.6057,457.649,-69995.4,38462.9,3579.34,-289.045,147.054,-1.26904e-05,-12.1985,69.8285,371.813,-79719,4115.97,-1909.07,193.93,85.5937,-1.67152e-06
1951,0,-8.13667,-74.9109,457.039,-70178.5,38951.2,3579.34,-290.225,146.45,-1.28686e-05,-11.8934,69.8285,371.202,-79719,3871.83,-2092.17,194.57,85.2412,-1.57496e-06
1951,1,-7.52632,-73.9954,458.259,-69812.3,38218.8,3304.68,-288.4,147.658,-1.2593e-05,-13.1141,69.8285,373.033,-80085.2,3139.41,-2275.28,196.584,85.3136,-1.27076e-06
1951,2,-7.52632,-74.3005,456.428,-69812.3,38340.8,3396.23,-289.002,147.047,-1.26839e-05,-12.1985,70.1337,373.644,-79719,3505.62,-1634.41,195.618,86.6444,-1.41668e-06
1951,3,-8.13667,-72.7747,457.039,-69812.3,37974.6,3487.78,-288.088,147.251,-1.2546e-05,-12.1985,70.1337,371.813,-79719,3505.62,-2183.73,195.572,85.5937,-1.42366e-06
1951,4,-6.61079,-75.5212,458.259,-70910.9,38585,3396.23,-289.199,145.26,-1.27137e-05,-12.8089,70.4388,371.813,-79535.9,3871.83,-2183.73,194.587,86.0861,-1.57238e-06
