Devices
2000
,,Imported Bertec Force Plate #1 - Force,,,Imported Bertec Force Plate #1 - Moment,,,Imported Bertec Force Plate #1 - CoP,,,Imported Bertec Force Plate #2 - Force,,,Imported Bertec Force Plate #2 - Moment,,,Imported Bertec Force Plate #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
2004,0,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2004,1,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2004,2,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2004,3,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2004,4,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2005,0,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2005,1,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2005,2,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2005,3,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2005,4,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2006,0,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2006,1,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2006,2,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2006,3,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2006,4,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2007,0,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2007,1,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2007,2,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2007,3,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2007,4,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2008,0,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2008,1,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2008,2,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2008,3,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2008,4,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2009,0,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2009,1,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2009,2,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2009,3,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2009,4,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2010,0,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2010,1,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2010,2,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2010,3,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2010,4,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2011,0,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2011,1,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2011,2,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2011,3,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2011,4,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2012,0,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2012,1,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2012,2,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2012,3,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2012,4,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2013,0,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2013,1,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2013,2,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2013,3,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2013,4,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2014,0,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2014,1,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2014,2,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2014,3,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2014,4,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2015,0,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2015,1,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2015,2,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2015,3,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2015,4,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2016,0,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2016,1,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2016,2,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2016,3,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2016,4,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2017,0,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2017,1,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2017,2,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2017,3,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2017,4,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
2018,0,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
