Devices
2000
,,Imported Bertec Force Plate #1 - Force,,,Imported Bertec Force Plate #1 - Moment,,,Imported Bertec Force Plate #1 - CoP,,,Imported Bertec Force Plate #2 - Force,,,Imported Bertec Force Plate #2 - Moment,,,Imported Bertec Force Plate #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
2376,0,-3.81474,-28.5065,242.562,-20722,20809.8,3012.26,-290.792,214.57,-1.29542e-05,3.86837,42.2925,275.97,-53329.8,20224.6,-1913.83,131.715,106.755,-1.10658e-05
2376,1,-2.59403,-27.2858,243.173,-22003.8,20931.9,2829.16,-291.078,209.514,-1.29975e-05,6.30978,43.5132,275.97,-53696,20102.5,-1913.83,132.157,105.428,-1.0999e-05
2376,2,-5.95097,-30.3375,243.173,-20722,20809.8,3012.26,-290.576,214.785,-1.29217e-05,3.56319,42.9028,277.191,-54062.3,20468.8,-1913.83,131.157,104.964,-1.11501e-05
2376,3,-4.11991,-29.422,243.783,-20905.2,21542.2,3012.26,-293.366,214.247,-1.3343e-05,4.17354,42.5977,277.191,-54062.3,20712.9,-1730.72,130.276,104.964,-1.1283e-05
2376,4,-8.0872,-28.8116,241.342,-19440.3,21298.1,2920.71,-293.249,219.449,-1.33252e-05,2.64767,43.5132,276.581,-53879.1,20590.8,-1364.51,130.552,105.196,-1.12413e-05
2377,0,-6.8665,-28.2013,243.173,-19623.4,20687.7,2829.16,-290.074,219.303,-1.28459e-05,2.95284,43.8184,277.802,-53512.9,19980.5,-1547.62,133.076,107.37,-1.08602e-05
2377,1,-7.78202,-27.8961,245.004,-21820.7,21298.1,2829.16,-291.93,210.937,-1.3126e-05,5.39425,42.5977,277.802,-53696,19858.4,-1639.17,133.516,106.711,-1.07938e-05
2377,2,-1.37333,-28.5065,238.9,-20355.8,21298.1,2554.5,-294.151,214.794,-1.34614e-05,3.86837,43.208,279.022,-54062.3,20224.6,-1822.27,132.516,106.244,-1.09448e-05
2377,3,-4.42509,-27.2858,242.562,-19989.6,21542.2,2829.16,-293.811,217.59,-1.34101e-05,5.08907,43.8184,279.022,-54062.3,19858.4,-1822.27,133.829,106.244,-1.07466e-05
2377,4,-4.42509,-26.9806,241.952,-19989.6,21420.2,2737.61,-293.531,217.382,-1.33678e-05,3.86837,43.208,279.022,-54245.4,19980.5,-1913.83,133.391,105.588,-1.08126e-05
2378,0,-4.42509,-27.2858,242.562,-20172.7,20931.9,2737.61,-291.295,216.835,-1.30302e-05,3.25802,42.5977,278.412,-54062.3,20224.6,-1639.17,132.357,105.819,-1.09688e-05
2378,1,-4.11991,-30.3375,240.731,-20355.8,21298.1,2829.16,-293.473,215.442,-1.3359e-05,3.86837,42.9028,278.412,-54245.4,20102.5,-2096.93,132.796,105.161,-1.09026e-05
2378,2,-5.95097,-27.5909,240.731,-19623.4,20931.9,2554.5,-291.951,218.484,-1.31293e-05,2.64767,42.9028,279.022,-54428.5,20224.6,-2188.48,132.516,104.931,-1.09448e-05
2378,3,-5.03544,-27.5909,241.342,-19806.5,21664.3,2646.05,-294.766,217.932,-1.35543e-05,4.17354,43.8184,280.243,-53879.1,20835,-2096.93,130.654,107.741,-1.12259e-05
2378,4,-5.64579,-25.4547,241.952,-21454.5,20565.7,2829.16,-289.999,211.328,-1.28345e-05,3.86837,42.9028,279.633,-53879.1,20224.6,-1822.27,132.674,107.322,-1.09209e-05
2379,0,-5.03544,-26.0651,241.342,-19074.1,21542.2,2554.5,-294.26,220.966,-1.34779e-05,6.30977,44.1235,279.633,-54062.3,20346.7,-1639.17,132.238,106.667,-1.09868e-05
2379,1,-2.59403,-25.4547,240.731,-19440.3,21420.2,2462.95,-293.98,219.245,-1.34355e-05,2.03731,44.1235,281.464,-54428.5,20590.8,-1822.27,131.844,106.623,-1.10463e-05
2379,2,-4.11991,-28.8116,238.9,-19623.4,21542.2,2646.05,-295.173,217.859,-1.36157e-05,4.47872,45.0391,280.853,-54245.4,20346.7,-1639.17,132.554,106.855,-1.0939e-05
2379,3,-5.95097,-29.422,238.9,-19623.4,21054,2737.61,-293.129,217.859,-1.33071e-05,4.47872,43.8184,281.464,-54794.7,20712.9,-1456.06,131.41,105.322,-1.11118e-05
2379,4,-6.25614,-28.2013,240.731,-19989.6,20687.7,2829.16,-290.937,216.963,-1.29761e-05,3.86837,43.5132,281.464,-54611.6,20102.5,-1639.17,133.579,105.973,-1.07843e-05
2380,0,-4.73026,-25.1495,238.9,-21088.3,20931.9,3286.92,-292.618,211.728,-1.32299e-05,4.47872,43.8184,282.684,-54794.7,20224.6,-1364.51,133.455,106.163,-1.0803e-05
2380,1,-5.03544,-29.422,240.121,-20538.9,21420.2,3286.92,-294.206,214.464,-1.34697e-05,4.47872,44.1235,281.464,-54428.5,19980.5,-1547.62,134.012,106.623,-1.07189e-05
2380,2,-7.78202,-27.5909,240.731,-19440.3,20565.7,2554.5,-290.43,219.245,-1.28996e-05,6.30977,44.1235,280.853,-54428.5,20346.7,-1547.62,132.554,106.203,-1.0939e-05
2380,3,-4.42509,-28.5065,240.121,-18524.8,20687.7,2829.16,-291.156,222.852,-1.30091e-05,4.47872,45.0391,282.684,-54611.6,20590.8,-2005.38,132.16,106.811,-1.09986e-05
2380,4,-4.11991,-26.6754,239.51,-19806.5,21054,2737.61,-292.904,217.304,-1.32732e-05,4.17354,44.7339,282.684,-54428.5,20468.8,-1547.62,132.592,107.458,-1.09334e-05
