Devices
2000
,,Imported Bertec Force Plate #1 - Force,,,Imported Bertec Force Plate #1 - Moment,,,Imported Bertec Force Plate #1 - CoP,,,Imported Bertec Force Plate #2 - Force,,,Imported Bertec Force Plate #2 - Moment,,,Imported Bertec Force Plate #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1252,0,13.2117,-65.0589,446.919,95750.4,11927.2,-3543.96,-231.688,514.245,-4.02971e-06,-18.5771,63.0729,489.912,20423.4,34562.2,-3055.11,134.452,341.688,-1.06524e-05
1252,1,12.6014,-67.5003,445.698,95933.5,12415.5,-3452.41,-232.856,515.243,-4.20617e-06,-19.4926,63.0729,490.522,19691,34806.3,-3238.22,134.042,340.143,-1.07143e-05
1252,2,13.5169,-68.4158,446.919,96116.6,12415.5,-3360.86,-232.78,515.065,-4.19468e-06,-19.4926,63.9885,489.912,19874.1,34440.1,-3512.87,134.701,340.567,-1.06148e-05
1252,3,14.1273,-64.4485,446.309,95933.5,12537.5,-3727.07,-233.092,514.949,-4.24172e-06,-18.5771,63.9885,489.912,19691,34684.2,-3146.66,134.203,340.193,-1.069e-05
1252,4,14.1273,-66.2796,448.14,96665.9,13025.8,-3543.96,-234.066,515.705,-4.38891e-06,-20.1029,63.0729,489.912,19141.7,34684.2,-2780.45,134.203,339.072,-1.069e-05
1253,0,15.9583,-67.8054,446.919,95750.4,12049.3,-3543.96,-231.961,514.245,-4.07096e-06,-19.4926,62.4626,489.912,19324.8,34196,-2780.45,135.2,339.445,-1.05395e-05
1253,1,13.8221,-66.2796,446.919,95384.2,12049.3,-3727.07,-231.961,513.426,-4.07096e-06,-19.7978,63.6833,489.912,19691,34562.2,-2780.45,134.452,340.193,-1.06524e-05
1253,2,13.8221,-65.364,447.529,95750.4,12781.7,-3452.41,-233.561,513.953,-4.31252e-06,-20.1029,63.6833,489.302,20057.2,35050.5,-3329.77,133.366,340.992,-1.08164e-05
1253,3,11.991,-65.364,447.529,96116.6,12537.5,-3635.52,-233.015,514.772,-4.23015e-06,-18.2719,63.3781,489.912,19324.8,34684.2,-2872.01,134.203,339.445,-1.069e-05
