,Deslocamento Vertical,Deslocamento Horizontal,Deslocamento Antero-Posterior,Deslocamento Tridimensional,velocidade média do salto,velocidade pico do salto,aceleração,força pico vertical normalizada,força pico horizontal normalizada,força pico antero-posterior normalizada,força pico tridimensional normalizada,impulso vertical normalizado,impulso horizontal normalizado,impulso antero-posterior normalizado,impulso tridimensional normalizado
1,0.44150682467348346,-1.6828357245660515,0.4266432530633018,1.7913371590779459,3.198816355496332,3.9129515740217062,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,
média,,,,,,,,,,,,,,,
desvio-padrão,,,,,,,,,,,,,,,
