Devices
2000
,,Imported Bertec Force Plate #1 - Force,,,Imported Bertec Force Plate #1 - Moment,,,Imported Bertec Force Plate #1 - CoP,,,Imported Bertec Force Plate #2 - Force,,,Imported Bertec Force Plate #2 - Moment,,,Imported Bertec Force Plate #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1989,0,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1989,1,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1989,2,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1989,3,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1989,4,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1990,0,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1990,1,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1990,2,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1990,3,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1990,4,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1991,0,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1991,1,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1991,2,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1991,3,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1991,4,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1992,0,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1992,1,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1992,2,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1992,3,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1992,4,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1993,0,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1993,1,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1993,2,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1993,3,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1993,4,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1994,0,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1994,1,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1994,2,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1994,3,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1994,4,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1995,0,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1995,1,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1995,2,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1995,3,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1995,4,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1996,0,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1996,1,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1996,2,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
1996,3,0,0,0,0,0,0,-205,300,0,0,0,0,0,0,0,205,300,0
