Devices
2000
,,Imported Bertec Force Plate #1 - Force,,,Imported Bertec Force Plate #1 - Moment,,,Imported Bertec Force Plate #1 - CoP,,,Imported Bertec Force Plate #2 - Force,,,Imported Bertec Force Plate #2 - Moment,,,Imported Bertec Force Plate #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1589,0,0,0,0,0,0,0,-205,300,0,-17.3865,-3.71887,-84.1199,17693.1,-16391.8,-2824.58,205,300,0
1589,1,0,0,0,0,0,0,-205,300,0,-17.9968,-3.4137,-85.9509,18059.3,-15903.6,-3465.45,205,300,0
1589,2,0,0,0,0,0,0,-205,300,0,-16.7761,-3.4137,-84.7302,18242.4,-16025.6,-3007.69,205,300,0
1589,3,0,0,0,0,0,0,-205,300,0,-17.0813,-2.19299,-85.3406,18242.4,-16269.8,-2824.58,205,300,0
1589,4,0,0,0,0,0,0,-205,300,0,-17.3865,-3.4137,-85.3406,18059.3,-16147.7,-2824.58,205,300,0
1590,0,0,0,0,0,0,0,-205,300,0,-17.9968,-3.71887,-84.7302,18059.3,-16513.9,-2824.58,205,300,0
1590,1,0,0,0,0,0,0,-205,300,0,-16.7761,-3.10852,-85.3406,18242.4,-16269.8,-2824.58,205,300,0
1590,2,0,0,0,0,0,0,-205,300,0,-18.9123,-3.10852,-84.7302,18242.4,-16513.9,-2916.13,205,300,0
1590,3,0,0,0,0,0,0,-205,300,0,-17.3865,-3.10852,-82.2888,18059.3,-16758.1,-2824.58,205,300,0
1590,4,0,0,0,0,0,0,-205,300,0,-17.3865,-3.71887,-85.3406,18059.3,-16269.8,-2824.58,205,300,0
1591,0,0,0,0,0,0,0,-205,300,0,-17.3865,-3.4137,-85.3406,18242.4,-16269.8,-2824.58,205,300,0
1591,1,0,0,0,0,0,0,-205,300,0,-17.6916,-4.32922,-84.7302,18059.3,-16269.8,-2366.82,205,300,0
1591,2,0,0,0,0,0,0,-205,300,0,-17.9968,-2.49817,-85.3406,18425.5,-16147.7,-2824.58,205,300,0
1591,3,0,0,0,0,0,0,-205,300,0,-17.9968,-3.71887,-84.7302,18059.3,-16269.8,-3373.9,205,300,0
1591,4,0,0,0,0,0,0,-205,300,0,-17.6916,-0.972291,-83.5095,18059.3,-16513.9,-2916.13,205,300,0
1592,0,0,0,0,0,0,0,-205,300,0,-17.9968,-2.80335,-85.3406,17876.2,-16391.8,-2916.13,205,300,0
1592,1,0,0,0,0,0,0,-205,300,0,-17.6916,-3.10852,-85.3406,17876.2,-16636,-2824.58,205,300,0
1592,2,0,0,0,0,0,0,-205,300,0,-17.6916,-3.10852,-85.3406,18242.4,-16269.8,-2733.03,205,300,0
1592,3,0,0,0,0,0,0,-205,300,0,-18.9123,-3.71887,-85.9509,18242.4,-16147.7,-2733.03,205,300,0
1592,4,0,0,0,0,0,0,-205,300,0,-16.7761,-3.4137,-84.7302,18059.3,-16025.6,-3007.69,205,300,0
1593,0,0,0,0,0,0,0,-205,300,0,-17.6916,-4.32922,-84.7302,17693.1,-16025.6,-2733.03,205,300,0
1593,1,0,0,0,0,0,0,-205,300,0,-19.2175,-3.10852,-81.6785,17876.2,-16391.8,-2733.03,205,300,0
1593,2,0,0,0,0,0,0,-205,300,0,-17.0813,-1.88782,-84.7302,18242.4,-16025.6,-3099.24,205,300,0
1593,3,0,0,0,0,0,0,-205,300,0,-18.6072,-2.49817,-85.9509,18608.6,-16513.9,-2733.03,205,300,0
1593,4,0,0,0,0,0,0,-205,300,0,-17.3865,-4.02405,-84.7302,17876.2,-16391.8,-2824.58,205,300,0
1594,0,0,0,0,0,0,0,-205,300,0,-17.9968,-3.4137,-85.9509,18242.4,-16147.7,-3007.69,205,300,0
1594,1,0,0,0,0,0,0,-205,300,0,-17.3865,-4.02405,-84.7302,18425.5,-16513.9,-2916.13,205,300,0
1594,2,0,0,0,0,0,0,-205,300,0,-17.9968,-3.10852,-85.9509,18242.4,-16025.6,-2733.03,205,300,0
1594,3,0,0,0,0,0,0,-205,300,0,-17.0813,-2.80335,-85.9509,18059.3,-16269.8,-3007.69,205,300,0
1594,4,0,0,0,0,0,0,-205,300,0,-17.9968,-3.10852,-86.5613,17693.1,-16513.9,-2733.03,205,300,0
1595,0,0,0,0,0,0,0,-205,300,0,-17.3865,-3.10852,-84.7302,18059.3,-16025.6,-3007.69,205,300,0
1595,1,0,0,0,0,0,0,-205,300,0,-17.9968,-3.10852,-85.3406,18608.6,-16513.9,-2824.58,205,300,0
1595,2,0,0,0,0,0,0,-205,300,0,-17.6916,-4.02405,-85.3406,18059.3,-16147.7,-2824.58,205,300,0
1595,3,0,0,0,0,0,0,-205,300,0,-17.0813,-2.80335,-85.9509,18242.4,-16147.7,-2641.48,205,300,0
1595,4,0,0,0,0,0,0,-205,300,0,-18.6072,-3.71887,-85.3406,18242.4,-16391.8,-3007.69,205,300,0
1596,0,0,0,0,0,0,0,-205,300,0,-18.302,-2.19299,-84.1199,17876.2,-16391.8,-2824.58,205,300,0
1596,1,0,0,0,0,0,0,-205,300,0,-18.6072,-3.10852,-87.1716,17693.1,-16391.8,-2824.58,205,300,0
1596,2,0,0,0,0,0,0,-205,300,0,-17.9968,-4.32922,-85.3406,18791.8,-16025.6,-2824.58,205,300,0
1596,3,0,0,0,0,0,0,-205,300,0,-17.6916,-3.71887,-84.7302,18059.3,-15903.6,-2641.48,205,300,0
1596,4,0,0,0,0,0,0,-205,300,0,-17.6916,-0.667115,-84.7302,18791.8,-15903.6,-3190.79,205,300,0
1597,0,0,0,0,0,0,0,-205,300,0,-19.2175,-4.32922,-84.7302,18425.5,-16269.8,-2824.58,205,300,0
1597,1,0,0,0,0,0,0,-205,300,0,-17.9968,-3.71887,-85.3406,18059.3,-16513.9,-2549.92,205,300,0
1597,2,0,0,0,0,0,0,-205,300,0,-17.6916,-3.71887,-85.9509,18059.3,-16269.8,-2824.58,205,300,0
1597,3,0,0,0,0,0,0,-205,300,0,-16.7761,-3.71887,-86.5613,18242.4,-16269.8,-2824.58,205,300,0
