,Deslocamento Vertical,Deslocamento Horizontal,Deslocamento Antero-Posterior,Deslocamento Tridimensional,velocidade média do salto,velocidade pico do salto,aceleração,força pico vertical normalizada,força pico horizontal normalizada,força pico antero-posterior normalizada,força pico tridimensional normalizada,impulso vertical normalizado,impulso horizontal normalizado,impulso antero-posterior normalizado,impulso tridimensional normalizado
rae1,0.3211171623064635,1.4979554662411565,0.24193030488132078,1.5509729472784124,2.8855310647040233,3.8275304334194225,4.045197032006536,1.6528975864405677,0.6225060884650598,0.12474243294222676,1.7458831283266272,2.2749320506774837,0.6274238365350258,0.132561211082515,2.382012026077277
2,0.2714797202022513,1.597006898152086,0.3589582875466635,1.6592116572109998,3.1158904360769952,4.117172328610585,4.181365920866076,1.5323199729900787,0.6304400829965964,0.18563987508005983,1.6392716562140845,2.0784646740443344,0.5860478955542248,0.23918848580088492,2.207021940919236
3,0.29858709590185073,1.5492977729057495,0.2784349516672271,1.6021872129310444,2.810854759528148,3.8049713293899265,4.10833877185143,1.8459351516538773,0.6319577692716674,0.234510438462473,1.9186810888256742,2.1922189401531273,0.5306617669610116,0.13708392076747167,2.2910403795964287
4,0.2691778949395449,1.576603811439553,0.347116882773444,1.6366509852977706,2.8463495396482963,3.751499718716383,4.305125915221749,1.8557696393264818,0.6901370532450317,0.18789538907769318,1.9561271003934861,2.32694695157494,0.6066153243691909,0.19936605033399424,2.440770368734489
5,,,,,,,,,,,,,,,
média,0.2900904683375276,1.5552159871846363,0.3066101067171638,1.6122557006795568,2.9146564499893657,3.875293452534079,4.160006909986448,1.7217305876027513,0.6437602484945888,0.1831970338906132,1.814990743439968,2.2181406541124717,0.5876872058548632,0.17704991699621647,2.3302111788318576
desvio-padrão,0.02132219554179119,0.03714065085865492,0.048369533464370756,0.04079504282187313,0.11914699971850454,0.14235236758042405,0.09665226019905214,0.1360216932101923,0.027015146964818326,0.03898091800910826,0.1287674445099277,0.09386877509837918,0.03602728656033593,0.044541377809498246,0.08890528963102265
rne1,0.4131537505135462,1.94431432670792,0.6640291785958812,2.095707272648497,3.2873839570956815,4.047963771760505,3.3099274514188832,2.329804436008647,0.557609830320148,0.4123055096769051,2.3802393006663065,2.475747134406403,0.39254107467267135,0.22804298576441406,2.5376341101887454
2,0.337045108954668,1.3257096406008404,0.3702070593044403,1.4170951709081203,3.435382232504534,3.996660760058499,3.8720371718654625,1.9943915953237596,0.619522139981671,0.07919029205185892,2.04777017800653,2.7727573810572714,0.5577259062227237,0.14791359257609135,2.8497682710055825
3,0.3536531696233921,2.188723215467216,0.788055518628022,2.353000505471663,3.065798704197606,4.063950432327882,3.4912690765404766,2.0633727337631136,0.5806250605495158,0.10621957468753385,2.1017575431539046,2.883970586985674,0.47919597305004935,0.01991849433141728,2.955864975467595
4,0.3647872094743364,2.168934868287315,0.753721381954313,2.32496109487529,3.394103788139109,4.297111088924201,3.20059263131464,1.8283612101955675,0.5152053820486329,0.11660613605668285,1.8698691806868233,2.399809471829693,0.37975648804314605,0.12745513386130078,2.4579367623157338
5,0.3024928085314874,1.2300185007964517,0.3649968222343153,1.3182071505480335,3.4018249046400864,3.8461579013452156,3.7241627710334986,1.944490237153481,0.6033648854411693,0.11168741214028584,1.9865179247383875,2.930682774571776,0.5355171977840051,0.05747863695381157,3.0074099061246695
média,0.354226409419486,1.7715401103719486,0.5882019921433944,1.9017942388903208,3.3168987173154036,4.05036879088326,3.519597820434592,2.032084042488914,0.5752654596682274,0.1652017849226533,2.0772308254503904,2.6925934697701637,0.4689473279545191,0.11616176869740702,2.761722805020465
desvio-padrão,0.0362100902417521,0.4132373961876187,0.18462405112802707,0.44626597984843497,0.135006489684429,0.14536756634464806,0.2500355204805125,0.16745913090856504,0.036594783710497895,0.12422757664906972,0.17000665149130564,0.21563059770736603,0.07240323158450679,0.07260799261881043,0.2228483973328195
rad1,0.41495060439879006,1.378024349946698,0.29584783722399804,1.469238257032214,3.0450533824501846,3.68331060943297,3.8807793130226127,1.4635901917934604,0.4857903869196319,0.278287364381357,1.4754113111116964,2.1835353047830974,0.5047357797759876,0.18781418334389932,2.2851133630341653
2,0.33443664453544697,1.313151325235143,0.24720641844412428,1.3774343125880495,3.0609651390845545,3.7931867343371763,4.137489285711358,1.692008334646305,0.6112924136654465,0.2476539376781573,1.7812128113091161,2.330224157803845,0.5719273136566898,0.12653289019919334,2.431439502417666
3,0.35873351546810905,1.4777258793531869,0.3176058468737185,1.5534596819997066,3.1383023878781953,3.7692030793804703,3.821350665447066,1.5965496597985542,0.5762300920594031,0.3678903888406277,1.6749426036399475,2.2029289336324624,0.5108698447291948,0.13095281467237935,2.2986154765268596
4,0.337352839178378,1.3168656415329072,0.22845220907787805,1.3784529254871747,2.9644148935208054,3.508706089512754,3.490862068699996,1.5411910422295645,0.44111695823853214,0.2551940623561915,1.5965540586597693,2.1768116073945216,0.4623772064179531,0.13306407313203475,2.2532525247114967
5,,,,,,,,,,,,,,,
média,0.361368400895181,1.3714417990169836,0.27227807790492975,1.4446462942767861,3.052183950733435,3.6886016281658427,3.832620333220259,1.573334807116971,0.5286074627207534,0.2872564383140834,1.6320301961801325,2.2233750009034816,0.5124775361449564,0.1445909903368767,2.3171052166725468
desvio-padrão,0.03232669894494959,0.06655067995350039,0.035914603856270065,0.07304815284137504,0.061740883726161946,0.111607614074141,0.23032047363849564,0.08321574030032632,0.06817735381445457,0.04790258937002163,0.11167470490688945,0.06243023105676511,0.03907313190772476,0.025065958240250354,0.06803463154415171
rnd1,0.44150682467348346,1.6828357245660515,0.4266432530633018,1.7913371590779459,3.198816355496332,3.9129515740217062,3.3759817620330037,2.1211299785962465,0.5272952402330404,0.39739736052106595,2.190852889003184,2.2320944242523675,0.340134971679045,0.2774879758357881,2.3078888311777708
2,0.3267611432385147,1.82230159587065,0.5239281722377072,1.9240729405892085,3.141343576472177,3.949233137639843,3.199821100486855,1.9548920178357014,0.6548182149626266,0.2869325741011173,2.014313630839992,2.455168881933642,0.48924282970148936,0.2605356686647576,2.5466701149126143
3,0.3202796868846671,1.852083244128736,0.5384357680288768,1.955173776753926,3.0430720260761492,4.005842106784961,3.5853163504651717,1.4330534063929896,0.5556302126312007,0.314196431201463,1.442698831670751,1.9019878152000789,0.4469634196194705,0.17476516183802257,2.0064580459248216
4,0.311645053551469,1.1668527200997034,0.28685444417762684,1.241351433701041,3.332487070338365,3.8812889915663535,3.466302289919126,2.015078443765414,0.5798666331763286,0.3210819300538386,2.056060671498495,2.7997043370482677,0.4409130088269295,0.16133253241833645,2.8694870885553456
5,0.3067377662401759,2.057876666695305,0.6030796321256373,2.16625240340358,3.1624122677424524,4.163262761153056,3.011716285391015,1.9853925578498348,0.5599015391943962,0.3420589225421144,2.0224350974647978,2.668225994428981,0.42239123913868376,0.15350290055405588,2.7334918215127617
média,0.34138609491766203,1.7163899902720892,0.47578825392662993,1.81563754270514,3.175626259225095,3.982515714233184,3.3278275576590337,1.9019092808880373,0.5755023680395185,0.33233344368391987,1.9452722240954436,2.4114362905726674,0.4279290937931236,0.20552484786219213,2.492799180416663
desvio-padrão,0.05053427830730267,0.2997866499939024,0.11005132738692447,0.3113051301565321,0.09387612184312664,0.09940559788025527,0.20204284042095366,0.24102590430296147,0.04306336256237205,0.036999148511401174,0.2591851780868851,0.31947044356010196,0.04904842001994538,0.052555274185263956,0.30771686387120206
